breed,accuracy_pct,correct,total
Australian_Shepherd_Dog,100.0,23,23
Leonberg,100.0,23,23
Scottish_deerhound,100.0,23,23
papillon,100.0,23,23
redbone,100.0,23,23
Bernese_mountain_dog,95.7,22,23
Border_terrier,95.7,22,23
English_springer,95.7,22,23
Mexican_hairless,95.7,22,23
Norwegian_elkhound,95.7,22,23
Rottweiler,95.7,22,23
Saint_Bernard,95.7,22,23
Scotch_terrier,95.7,22,23
bluetick,95.7,22,23
clumber,95.7,22,23
dingo,95.7,22,23
Afghan_hound,91.3,21,23
African_hunting_dog,91.3,21,23
Bedlington_terrier,91.3,21,23
Blenheim_spaniel,91.3,21,23
Boston_bull,91.3,21,23
Brabancon_griffon,91.3,21,23
Pomeranian,91.3,21,23
Samoyed,91.3,21,23
Weimaraner,91.3,21,23
West_Highland_white_terrier,91.3,21,23
affenpinscher,91.3,21,23
briard,91.3,21,23
dhole,91.3,21,23
keeshond,91.3,21,23
malinois,91.3,21,23
schipperke,91.3,21,23
vizsla,91.3,21,23
Doberman,87.0,20,23
German_short-haired_pointer,87.0,20,23
Great_Dane,87.0,20,23
Ibizan_hound,87.0,20,23
Irish_terrier,87.0,20,23
Irish_wolfhound,87.0,20,23
Kerry_blue_terrier,87.0,20,23
Old_English_sheepdog,87.0,20,23
Pekinese,87.0,20,23
Sealyham_terrier,87.0,20,23
Tibetan_mastiff,87.0,20,23
Welsh_springer_spaniel,87.0,20,23
basenji,87.0,20,23
beagle,87.0,20,23
flat-coated_retriever,87.0,20,23
komondor,87.0,20,23
German_shepherd,82.6,19,23
Gordon_setter,82.6,19,23
Irish_setter,82.6,19,23
Pembroke,82.6,19,23
Saluki,82.6,19,23
Sussex_spaniel,82.6,19,23
bull_mastiff,82.6,19,23
curly-coated_retriever,82.6,19,23
golden_retriever,82.6,19,23
Airedale,78.3,18,23
Border_collie,78.3,18,23
Brittany_spaniel,78.3,18,23
Great_Pyrenees,78.3,18,23
borzoi,78.3,18,23
chow,78.3,18,23
groenendael,78.3,18,23
Australian_terrier,73.9,17,23
EntleBucher,73.9,17,23
Irish_water_spaniel,73.9,17,23
Labrador_retriever,73.9,17,23
Shetland_sheepdog,73.9,17,23
Tibetan_terrier,73.9,17,23
Yorkshire_terrier,73.9,17,23
basset,73.9,17,23
black-and-tan_coonhound,73.9,17,23
bloodhound,73.9,17,23
cocker_spaniel,73.9,17,23
miniature_pinscher,73.9,17,23
miniature_schnauzer,73.9,17,23
silky_terrier,73.9,17,23
whippet,73.9,17,23
wire-haired_fox_terrier,73.9,17,23
Bouvier_des_Flandres,69.6,16,23
Cardigan,69.6,16,23
Chesapeake_Bay_retriever,69.6,16,23
Dandie_Dinmont,69.6,16,23
French_bulldog,69.6,16,23
Greater_Swiss_Mountain_dog,69.6,16,23
Italian_greyhound,69.6,16,23
Japanese_spaniel,69.6,16,23
Norwich_terrier,69.6,16,23
Shih-Tzu,69.6,16,23
Staffordshire_bullterrier,69.6,16,23
boxer,69.6,16,23
pug,69.6,16,23
toy_terrier,69.6,16,23
Maltese_dog,65.2,15,23
Newfoundland,65.2,15,23
Norfolk_terrier,65.2,15,23
Walker_hound,65.2,15,23
giant_schnauzer,65.2,15,23
kuvasz,65.2,15,23
malamute,65.2,15,23
otterhound,65.2,15,23
soft-coated_wheaten_terrier,65.2,15,23
English_setter,60.9,14,23
Lakeland_terrier,60.9,14,23
Lhasa,60.9,14,23
cairn,60.9,14,23
Rhodesian_ridgeback,56.5,13,23
miniature_poodle,56.5,13,23
Appenzeller,52.2,12,23
standard_schnauzer,52.2,12,23
American_Staffordshire_terrier,47.8,11,23
Chihuahua,47.8,11,23
English_foxhound,47.8,11,23
kelpie,47.8,11,23
standard_poodle,43.5,10,23
Siberian_husky,39.1,9,23
collie,26.1,6,23
toy_poodle,26.1,6,23
Eskimo_dog,21.7,5,23
